GREATER DELIVERANCE TEMPLE,1331-35 S 21ST ST
GREATER EBENEZER BAPTIST CHURCH,3200 N BROAD ST
GREATER ENON BAPTIST CHURCH,1854-56 N 22ND ST
GREATER EXODUS BAPTIST CHURCH,700-02 N BROAD ST
GREATER FAITH BAPTIST CHURCH,4031-45 BARING ST
GREATER FAITH FAMILY WORSHIP CENTER,6052 OGONTZ AVE
GREATER FAITH MISSIONARY BAPTIST CHURCH,2601 W LEHIGH AVE
GREATER FELLOWSHIP BAPTIST CHURCH,5522 WOODLAND AVE
GREATER HARVEST PRAYER CHAPEL,3012-14 W CUMBERLAND ST
GREATER HOPE PRE-K,7035 WOODLAND AVE
GREATER LIFE CHRISTIAN,617 N 41ST ST
GREATER LOVE BAPTIST CHURCH,1628-32 N 16TH ST
GREATER MT PLEASANT BAPTIST CHURCH,1219 S 26TH ST
GREATER MT VERNON BAPTIST CHURCH,1117-19 W LEHIGH AVE
GREATER RIGHTEOUS TEMPLE CHURCH,2522-24 W DAUPHIN ST
GREATER SAINT JOHN MINISTRIES,852-58 N 40TH ST
GREATER ST LUKE'S CHURCH,2124-34 W OXFORD ST
GREATER ST MATTHEWS INDEPENDENT CHURCH,5540-46 RACE ST
GREATER ST THOMAS BAPTIST CHURCH,3020 GERMANTOWN AVE
GREATER ST. MATTHEWS BAPTIST CHURCH,1536 W WINGOHOCKING ST
GREATER WHITE ROCK BAPTIST CHURCH,9-17 N 56TH ST
GREBLE POST (WAR MEMORIAL),1327 S 3RD ST
GREEN LANE UNITED METHODIST CHURCH,472 GREEN LN
GREEN STREET FRIENDS,45 W SCHOOL HOUSE LN
GREEN STREET FRIENDS PLAYGROUND,5500-06 GERMANTOWN AVE
GREEN TREE SCHOOL SPECIAL CENTER,1196 E WASHINGTON LN
GREEN WOODS CHARTER SCHOOL,468 DOMINO LN
GREENE STREET FRIENDS SCHOOL,5511 GREENE ST
GREENE TOWNE SCHOOL INC KINDERGARTEN,2119-21 ARCH ST
GREENFIELD CENTER,3401-99 SPRUCE ST
GREENHOUSES,625-35 E WISTER ST
GREENMOUNT CEMETERY,300 E COURTLAND ST
GREENWOOD CEMETERY,930 ADAMS AVE
GREENWOOD COMMUNITY BAPTIST CHURCH,1828-32 W NORRIS ST
GREJA PROTESTAN INDONESIA,1127 S BROAD ST
GREYHOUND BUSINESS TERMINAL,1001-25 FILBERT ST
GRIFFITH HALL,4201-47 WOODLAND AVE
GROUNDS BUILDING,625-35 E WISTER ST
GROVE SHOP,3400 W GIRARD AVE
GROVERS CLEVELAND MASTERY CHARTER SCHOOL,3715-33 N 19TH ST
GROW THRU PLAY,1632-38 SOUTH ST
GROW WITH ME ACADEMY,4714 N FRONT ST
GROW WITH ME ACADEMY,5741-43 LANSDOWNE AVE
GRUMBLETHORPE,5267-69 GERMANTOWN AVE
GRUPO CHRISTIANO,2717-21 N REESE ST
GUARD BOX 1 AT CAR BARN,4101 MONTGOMERY DR
GUARD BOX 2 AT CAR BARN,4101 MONTGOMERY DR
GUARD BOX 3 AT CAR BARN,4101 MONTGOMERY DR
GUARD BOX A AT CAR BARN,4101 MONTGOMERY DR
GUARD BOX B AT CAR BARN,4101 MONTGOMERY DR
GUARD BOX AT BELLS MILL ROAD,251 BELLS MILL RD
GUARD BOX AT BLUE STONE BRIDGE,5490 WISSAHICKON AVE
GUARD BOX AT EAST PARK CANOE HOUSE,2400 KELLY DR
GUARD BOX AT HUNTING PARK,4101 OLD YORK RD
GUARD BOX AT I-95,8601 E ROOSEVELT BLVD
GUARD BOX AT KELLY DRIVE,2700 KELLY DR
GUARD BOX AT LINCOLN & WISSAHICKON,5800 WISSAHICKON AVE
GUARD BOX AT MORRIS PARK,6600 CITY AVE
GUARD BOX AT OHIO HOUSE,1750 BELMONT AVE
GUARD BOX AT PINE ROAD,8751 PINE RD
GUARD BOX AT RIDGELAND,4000 CHAMOUNIX DR
GUARD BOX AT RITTENHOUSE SQUARE,1800 WALNUT ST
GUARD BOX AT WASHINGTON SQUARE,600 WALNUT ST
GUERIN RECREATION CENTER,2201 S 16TH ST
GUERIN RECREATION CENTER BUILDING 1,2201 S 16TH ST
GUERIN RECREATION CENTER BUILDING 2,2201 S 16TH ST
GUGLIELMO MARCONI,2701 S BROAD ST
GUILD HOUSE EAST,711-39 SPRING GARDEN ST
GUNTER RESIDENCE HALL,4201-47 WOODLAND AVE
GUSTINE RECREATION CENTER,4868 RIDGE AVE
GUSTINE RECREATION CENTER BUILDING,4540 RIDGE AVE
GYMNASIUM,1600 SPRING GARDEN ST
HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY SCHOOL,4400 BALTIMORE AVE
HUP OFFICES,3401-99 SPRUCE ST
HAGERT PLAYGROUND,2024-40 E HAGERT ST
HAGGAR HALL,3300 W SCHOOL HOUSE LN
HAHNEMANN GARAGE,222-48 N BROAD ST
HAHNEMANN UNIVERSITY HOSPITAL,222-48 N BROAD ST
HAINES STREET BAPTIST CHURCH,218 E HAINES ST
HAITIAN EVANGELICAL BAPTIST CHURCH,814 E CHELTEN AVE
HAITIAN MINISTRY THEOPHILE CHURCH,6523 RACE ST
HAMILTON BUILDING,800-34 WALNUT ST
HAMILTON DISSTON ES,6801 COTTAGE ST
HAMILTON PARK,547 RISING SUN AVE
HAMMOND & NEDRO FIELDS,5901 HAMMOND AVE
HANCOCK PLAYGROUND,147 MASTER ST
HANCOCK STREET CHURCH,1217-23 N HANCOCK ST
HANCOCK/ST JOHN'S PLAYGROUND BUILDING,147 MASTER ST
HANDSCHUMACHER DINING CENTER,3401-99 SPRUCE ST
HANGAR CLINIC,3015 ISLAND AVE
HANK GATHERS YAC BUILDING,2501-59 DIAMOND ST
HAPPY HOLLOW PLAYGROUND BUILDING,4740 WAYNE AVE
HAPPY HOLLOW RECREATION CENTER,4800 WAYNE AVE
HARBOR NEBO CEMETERY,6001 OXFORD AVE
HARAMBE BAPTIST CHURCH,5648 CHEW AVE
HARDWICK HALL (STUDENT HOUSING),1801 N BROAD ST
HARDY WILLIAMS ACADEMY,5401 WARRINGTON AVE
HARMONY PLACE,8400 E ROOSEVELT BLVD
HARNWELL COLLEGE HOUSE,3401-99 SPRUCE ST
HARPER'S HOLLOW PARK,5850 OGONTZ AVE
HARRISON COLLEGE HOUSE,3401-99 SPRUCE ST
HARRISON WILLIAM H SCHOOL,1012-20 W THOMPSON ST
HARROWGATE PARK,3455 KENSINGTON AVE
HARROWGATE PLAZA SHOPPING CENTER,3528-78 I ST
HART PLAYGROUND,1315-21 N 4TH ST
HARTRANFT POOL,800 W CUMBERLAND ST
HARVEST COMMUNITY BAPTIST CHURCH,5310 MORRIS ST
HASHEM CHRISTIAN WORSHIP CENTER,6841 OGONTZ AVE
HADFIELD HOUSE,3301 W GIRARD AVE
HAVEN PENIEL SENIOR,1615 N 23RD ST
HAVEN PENIEL UNITED METHODIST CHURCH,2301-09 W OXFORD ST
HAVERFORD AVENUE SHOPS,7543-79 HAVERFORD AVE
HAWKS? LANDING,5700-30 CITY AVE
HAWTHORNE CULTURAL CENTER,1200 CARPENTER ST
HAWTHORNE CULTURAL CENTER BUILDING,1200 CARPENTER ST
HAWTHORNE HALL,3849 LANCASTER AVE
HAWTHORNE PARK,750 S 12TH ST
HAYDEN HALL,3401-99 SPRUCE ST
HAYES MANOR,2210 BELMONT AVE
HAYES PLAYGROUND,9850 E ROOSEVELT BLVD
HAYES PLAYGROUND BUILDING,9850 E ROOSEVELT BLVD
HAYES WOODS,9850 E ROOSEVELT BLVD
HAYMAN CENTER/TOM GOLA ARENA,625-35 E WISTER ST
HEYWARD HALL,3300 W SCHOOL HOUSE LN
HEAD START LEARNING TREE,5701 WASHINGTON AVE
HEALTH ADMINISTRATION BUILDING / STD CLINIC,500-10 S BROAD ST
HEALTH CENTER 10,2240 COTTMAN AVE
HEALTH CENTER 2,1700 S BROAD ST UNIT 201
HEALTH CENTER 3,4217-21 CHESTER AVE
HEALTH CENTER 4,4310 HAVERFORD AVE
HEALTH CENTER 5,1900-26 N 20TH ST
HEALTH CENTER 6,301-21 W GIRARD AVE
HEALTH CENTER 9,127-35 E CHELTEN AVE
HEALTH CENTER STRAWBERRY MANSION,2800 W DAUPHIN ST
HEART INSTITUTE,3800 POWELTON AVE
HEART RHYTHM CENTER OF PHILADELPHIA,2945-47 N 5TH ST
HEART OF WORSHIP RESTORATION,5317-21 N 3RD ST
HEAVEN WAY CHURCH,5630 CHESTER AVE
HEAVENLY HALL DAY CARE LEARNING CENTER,4012 POPLAR ST
HEAVENS LITTLE ANGELS CHILD CENTER,639-41 S 60TH ST
HEBREW TABERNACLE PENTECOSTAL CHURCH,2426-30 GERMANTOWN AVE
HEBRON TEBENACLE,6626 GERMANTOWN AVE
HECHT TENNIS CENTER,3401-99 SPRUCE ST
HEDGE STREET PARK,4610 HEDGE ST
HEITZMAN RECREATION CENTER,2136 CASTOR AVE
HEITZMAN RECREATION CENTER BUILDING,2136 CASTOR AVE
HELPING HAND RESCUE MISSION,610-18 N 6TH ST
HENDRIX CENTER,11685 BUSTLETON AVE
HENRY A. BROWN ELEMENTARY SCHOOL,2514-32 EMERALD ST
HENRY C. LEA ELEMENTARY SCHOOL,242 S 47TH ST
HENRY E. HOUSTON ELEMENTARY SCHOOL,135 W ALLENS LN
HENRY HOWARD HOUSTON MEMORIAL,LINCOLN DR & HARVEY ST
HENRY W. LAWNTON ELEMENTARY SCHOOL,4501 BENNER ST
HERITAGE PARK PLAYGROUND,1517-33 W CLEARFIELD ST
HERITAGE PARK PLAYGROUND BUILDING,1517-33 W CLEARFIELD ST
HERMITAGE STAGE,5000 HERMIT LN
HERRON PLAYGROUND,213 REED ST
HESTONVILLE LOT,5451-59 HUNTER ST
HETZELL PLAYGROUND,1301 E COLUMBIA AVE
HETZELL PLAYGROUND FIELD,1301 E COLUMBIA AVE
HICKMAN TEMPLE AME CHURCH,5001 BALTIMORE AVE
HIGH STREET CHURCH OF GOD,222-42 HIGH ST
HIGHER GROUND INTERNATIONAL,7840-60 EVA ST
HIGHWAY TABERNACLE,1801 SPRING GARDEN ST
HIGHWAY TEMPLE OF DELIVERANCE,2401-25 N 8TH ST
HIGHWAY TEMPLE OF LOVE,2311-17 N 16TH ST
HILL COLLEGE HOUSE,3401-99 SPRUCE ST
HILL PAVILION,3401-99 SPRUCE ST
HILL-FREEDMAN WORLD ACADEMY HS,6501-33 LIMEKILN PIKE
HILL-PHYSICK-KEITH HOUSE,319-27 S 4TH ST
HILLEL AT STEINHARDT HALL,3401-99 SPRUCE ST
HILLSIDE RECREATION CENTER,201 FOUNTAIN ST
HILLSIDE RECREATION CENTER BUILDING,201 FOUNTAIN ST
HILTON,200 N 16TH ST
HISSEY PLAYGROUND,400-32 E INDIANA AVE
HISTORIC CONGREGATION B'NAI ABRAHAM SYNAGOGUE,523-27 LOMBARD ST
HISTORIC RITTENHOUSE TOWN,210 RITTENHOUSETOWN LN
HISTORIC ST GEORGE'S UNITED METHODIST CHURCH,229-37 N 4TH ST
HISTORICAL SOCIETY OF PENNSYLVANIA,1314-18 LOCUST ST
HOLBROOK & MUHLFELD STATE PARK E,2640 HOLBROOK ST
HOLLENBACK ANNEX,3401-99 SPRUCE ST
HOLLENBACK CENTER,3401-99 SPRUCE ST
HOLME CIRCLE SHOPPING CENTER,2847-67 HOLME AVE
HOLME CRISPIN CEMETERY,2870 WILLITS RD
HOLME CRISPIN PARK,3065 HOLME AVE
HOLME PLAYGROUND,9152 ACADEMY RD
HOLME SCHOOL PLAYGROUND BUILDING,9152 ACADEMY RD
HOLME STREET FIELD,2761 HOLME AVE
HOLME JUNIOR HIGH SCHOOL,5429-55 CHESTNUT ST
HOLMESBURG CHRISTIAN ACADEMY,7923 FRANKFORD AVE
HOLMESBURG PLAYGROUND,4500 RHAWN ST
HOLMESBURG PLAYGROUND BUILDING,4500 RHAWN ST
HOLMESBURG PLAZA,8230-38 FRANKFORD AVE
HOLMESBURG POST OFFICE,8230-38 FRANKFORD AVE
HOLMESBURG PRISON ACADEMY,8201 TORRESDALE AVE
HOLMESBURG SHOPPING CENTER,8445 FRANKFORD AVE
HOLMESBURG UNITED METHODIST,8114 FRANKFORD AVE
HOLROYD HALL/HUGH AND NANCY DEVLIN CENTER FOR SCIENCE AND TECHNOLOGY,625-35 E WISTER ST
HOLSEY TEMPLE CHRISTIAN METHODIST EPISCOPAL CHURCH,5305-15 GERMANTOWN AVE
HOLY ANGELS KOREAN CATHOLIC CHURCH,1321 70TH AVE
HOLY ANGELS SCHOOL,1321 70TH AVE
HOLY APOSTLES & THE MEDIATOR EPISCOPAL CHURCH,258 S 51ST ST
HOLY BIBLE CHURCH OF CHRIST,1912 CECIL B MOORE AVE
HOLY CROSS BAPTIST CHURCH,1900-04 N 63RD ST
HOLY CROSS BAPTIST CHURCH PARSONAGE,1901-03 WYNNEWOOD RD
HOLY CROSS CATHOLIC CHURCH,148-54 E MOUNT AIRY AVE
HOLY CROSS LUTHERAN CHURCH,500 E MOUNT PLEASANT AVE
HOLY CROSS LUTHERAN CHURCH DAY CARE,500 E MOUNT PLEASANT AVE
HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE
HOLY FAMILY CHURCH,240 HERMITAGE ST
HOLY FAMILY HALL,9801 FRANKFORD AVE
HOLY FAMILY UNIVERSITY,9801 FRANKFORD AVE
HOLY FLOCK OF CHRIST CHURCH,1329 COTTMAN AVE
HOLY GHOST BYZANTINE CATHOLIC CHURCH,2300 S 24TH ST
HOLY GHOST CEUSADE CHURCH,1643 N BAILEY ST
HOLY GROUND CHURCH,1426 S 23RD ST
HOLY INNOCENTS,1312 E BRISTOL ST
HOLY INNOCENTS SCHOOL,1301 E HUNTING PARK AVE
HOLY INNOCENTS ST PAUL'S CHURCH,4711 TYSON AVE
HOLY LIGHT BAPTIST CHURCH,224-26 S 60TH ST
HOLY NAME SCHOOL,700-12 GAUL ST
HOLY NAME OF JESUS CATHOLIC CHURCH,707-15 GAUL ST
HOLY NATION BAPTIST CHURCH,2925-27 RIDGE AVE
HOLY REDEEMER CEMETERY,4330-38 EDGEMONT ST
HOLY REDEEMER CHINESE CATHOLIC CHURCH,903-27 VINE ST
HOLY REDEEMER CHINESE CATHOLIC SCHOOL,903-27 VINE ST
HOLY REDEEMER LAFAYETTE,8560 VERREE RD
HOLY REDEEMER SUPPORT SERVICES,12265 TOWNSEND RD
HOLY REDEM CHURCH-GOD-CHRIST,2929 MASTER ST
HOLY SPIRIT ADORATION SISTERS,2206-16 GREEN ST
HOLY SPIRIT CHURCH,1845 HARTRANFT ST
HOLY SPIRIT SCHOOL,1845 HARTRANFT ST
HOLY SPIRIT UNITED METHODIST CHURCH,1441 E HUNTING PARK AVE
HOLY TABERNACLE COGIC,3833-35 HAVERFORD AVE
HOLY TEMPLE CHURCH,2240-44 N 29TH ST
HOLY TEMPLE CHURCH OF GOD,6000-14 CALLOWHILL ST
HOLY TEMPLE COMMUNITY CENTER,361-63 N 60TH ST
HOLY TEMPLE OF DELIVERANCE,124-28 W SEYMOUR ST
HOLY TEMPLE OF DELIVERANCE,5040-42 WAYNE AVE
HOLY TEMPLE OF GOD,6711 OGONTZ AVE
HOLY TEMPLE OF GOD CHRISTIAN SCHOOL,6711 OGONTZ AVE
HOLY TEMPLE OF THE LORD,5116 MARKET ST
HOLY TRINITY BAPTIST CHURCH,1812-24 BAINBRIDGE ST
HOLY TRINITY BETHLEHEM PRESBYTERIAN CHURCH,1100 W ROCKLAND ST
HOLY TRINITY BYZANTINE CHURCH,6801 N 10TH ST
HOLY TRINITY CEMETERY,256-66 S 6TH ST
HOLY TRINITY CHURCH,256-66 S 6TH ST
HOLY TRINITY DELIVERANCE CHURCH,1625 W THOMPSON ST
HOLY TRINITY ROMANIAN ORTHODOX CHURCH,222-30 BROWN ST
HOOD CEMETERY,4901 GERMANTOWN AVE
HOPE CENTER,203-07 E TIOGA ST
HOPE CHRISTIAN ACADEMY ELEMENTARY SCHOOL,2222 MASTER ST
HOPE CHURCH SCHOOL,6707 OLD YORK RD
HOPE HALL,7214-16 KEYSTONE ST
HOPE OUTREACH MINISTRIES,3001-11 C ST
HOPE PARK,201-19 E INDIANA AVE
HOPE PARTNERSHIP FOR EDUCATION SCHOOL,2601-13 N 11TH ST
HOPE PHILADELPHIA CHURCH,4414-16 VAN KIRK ST
HOPE PLAZA,2101-49 W LEHIGH AVE
HOPE RISING CHILD,2721-27 GERMANTOWN AVE
HOPE RISING CHILD LC,8233 STENTON AVE
HORACE FURNESS HIGH SCHOOL,1900 S 3RD ST
HORATIO B. HACKETT ELEMENTARY SCHOOL,2143-75 E YORK ST
HORTICULTURE CENTER,4180 HORTICULTURE DR
HORTICULTURE CENTER GAZEBO,4180 HORTICULTURE DR
HORTICULTURE CENTER REFLECTION POOL,4180 HORTICULTURE DR
HORTON STREET PLAY LOT,229 HORTON ST
HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA HEALTH SYSTEM,3401 CIVIC CENTER BLVD
HOUSE OF GLORY,4800 RISING SUN AVE
HOUSE OF CORRECTIONSALTERNATIVE SPECIAL DETENTION CENTRAL UNIT,7999 STATE RD
HOUSE OF GOD CHURCH,1501 W CUMBERLAND ST
HOUSE OF GOD CHURCH,1536-38 N HANCOCK ST
HOUSE OF JOY,5100 DITMAN ST
HOUSE OF PRAYER,2160-62 N VAN PELT ST
HOUSE OF PRAYER,2300 N 10TH ST
HOUSE OF PRAYER BAPTIST CHURCH,1419 REED ST
HOUSEHOLD OF FAITH APOSTOLIC CHURCH,1217 S 20TH ST
HOUSEMAN PLAYGROUND,5091 SUMMERDALE AVE
HOUSEMAN PLAYGROUND,802 E GODFREY AVE
HOUSEMAN POOL BUILDING,802 E GODFREY AVE
HOUSEMAN RECREATION CENTER BUILDING,802 E GODFREY AVE
HOUSING UTILITY BUILDING,625-35 E WISTER ST
HOUSTON HALL,3401-99 SPRUCE ST
HOUSTON PLAYGROUND,8601 WISSAHICKON AVE
HOUSTON PLAYGROUND BUILDING,8601 WISSAHICKON AVE
HOWARD & REED PARK,105 REED ST
HOWARD GITTIS STUDENT CENTER/BOOKSTORE,1801 N BROAD ST
HOWELL PARK,5215 GREENE ST
HOWELL PARK STABLE BUILDING,5215 GREENE ST
HUMBLE TABERNACLE OF LOVE,2925-27 W FLORA ST
HUNTING PARK,1101 W HUNTING PARK AVE
HUNTING PARK,4101 OLD YORK RD
HUNTING PARK AVENUE DAY CARE CENTER,1923 W HUNTING PARK AVE
HUNTING PARK CHRISTIAN ACADEMY,601 W CAYUGA ST
HUNTING PARK CONCESSIONS BUILDING,4101 OLD YORK RD
HUNTING PARK HEALTH CENTER,1999 W HUNTING PARK AVE
HUNTING PARK MAINTENANCE BUILDING,4101 OLD YORK RD
HUNTING PARK PLAZA,700 E HUNTING PARK AVE
HUNTING PARK STATION POST OFFICE,4320 N FRONT ST
HUNTINGDON STATION,186 E HUNTINGDON ST
HUTCHINSON GYMNASIUM,3401-99 SPRUCE ST
ISKCON RADHA KRISHNA TEMPLE,51 W ALLENS LN
IGELISA DE DIOS,2300-02 MASCHER ST
IGLESIA ADULAM PENTECOSTAL,2200-14 SNYDER AVE
IGLESIA APOSTOLICA LUZ,3156-64 D ST
IGLESIA CENTRO CRISTIANO LA RC,3650 N 10TH ST
IGLESIA CRISTIANA MONTE OLIVAR,421 W LURAY ST
IGLESIA CRISTIANA PUENTE DE VIDA,4233 CHESTNUT ST
IGLESIA DE DIOS PENTECOSTAL,2015-31 N AMERICAN ST
IGLESIA DE DIOS PENTECOSTAL,3109-23 N 2ND ST
IGLESIA DE JESUCRISTO PALABRA MIEL,231 E ALLEGHENY AVE
IGLESIA DEL BARRIO,238-44 E CAMBRIA ST
IGLESIA HERMANOS UNIDOS,3006-10 GERMANTOWN AVE
IGLESIA LA LUZ DEL MUNDO,900-16 W LEHIGH AVE
IGLESIA MENONITA ARCA DE SALVACION,2147-51 N HOWARD ST
IGLESIA PENTACOSTAL ROSA DE SARON,2604-06 N FAIRHILL ST
IGLESIA PENTECOSTAL-JESUCRISTO,1924-32 N FRONT ST
IHM LITERACY CENTER,929 FARRAGUT TER
IJOBA SHULE SCHOOL,201 S 52ND ST
ILE IFE PARK,2525 N ALDER ST
ILM ISLAMIC CHILD CARE CENTER,2744-50 GERMANTOWN AVE
IMANI EDUCATION CIRCLE CHARTER SCHOOL,100-26 W CHELTEN AVE
IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,6201 N 21ST ST
IMMACULATE CONCEPTION CATHOLIC CHURCH,5728 ARDLEIGH ST
IMMACULATE CONCEPTION ROMAN CATHOLIC CHURCH,1018-20 N FRONT ST
IMMACULATE HEART OF MARY,815-23 CATHEDRAL RD
IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD
IMMACULATE MARY CENTER FOR REHABILITATION & HEALTHCARE,2990 HOLME AVE
IMMANUEL LUTHERAN SCHOOL,1013 COTTMAN AVE
IMMIGRANT,KELLY DR
IMPACTING YOUR WORLD CHRISTIAN CENTER,5507-17 GERMANTOWN AVE
IMPERIAL PLAZA,3400 ARAMINGO AVE
"IN THE LIGHT MINISTRIES, ESPERANZA CENTER",201 W HUNTING PARK AVE
INC LUBELS HOUSE OF LEARNING CHRISTIAN ACADEMY PRE-K,8123 STENTON AVE
INC. IN THE BEGINNING KINDERGARTEN,5200 WYNNEFIELD AVE
INCARNATION CHURCH,401 LINDLEY AVE
INCARNATION OF OUR LORD SCHOOL,401 LINDLEY AVE
INDEPENDENCE,1901-17 MARKET ST
INDEPENDENCE BLUE CROSS FITNESS CENTER,625-35 E WISTER ST
INDEPENDENCE BLUE CROSS MEDICAL SIMULATION CENTER,2900 W QUEEN LN
INDEPENDENCE BLUE CROSS RECREATION CENTER,1801 N BROAD ST
INDEPENDENCE CHARTER SCHOOL,500-18 S 16TH ST
INDEPENDENCE HALL,500-36 CHESTNUT ST
INDEPENDENCE NATIONAL HISTORICAL PARK,501-35 MARKET ST
INDEPENDENCE PLAZA,3300 W SCHOOL HOUSE LN
INDEPENDENCE SCHOOL HOUSE,3400 W GIRARD AVE
INDEPENDENCE VISITOR CENTER,501-35 MARKET ST
INDIA PENTECOSTAL CHURCH,1001 HOWELL ST
INDIA PENTECOSTAL CHURCH,7781 CRAIG ST
INDONESIAN CHRISTIAN CHURCH,1738 S 19TH ST
INDONESIAN FULL GOSPEL FELLOWSHIP CHURCH,2026 S 13TH ST
INFORMATION TECHNOLOGY,3300 W SCHOOL HOUSE LN
INGERSOLL PARK,1300 N 16TH ST
INGLEASIA PENTECOSTAL ALPHA Y OMEGA,114 W ONTARIO ST
INGLESIA ADVENTISTA DEL 7 DIA,1731-33 S 6TH ST
INGLESIA ADVENTISTA DEL 7 DIA LAWNDALE,601 UNRUH AVE
INGLESIA ADVENTISTA DEL SEPTIMO DIA FELTONVILLE,200 E WYOMING AVE
INGLESIA APOSTOLICA,200 E CLEARFIELD ST
INGLESIA DE DIOS PENTECOSTAL,3314 N 5TH ST
INGLESIA DE DIOS VISION MISIONERA,3324 N 5TH ST
INGLESIA EL REFUGIO,2242 N 3RD ST
INGLESIA EVANGELICA,2446 N 2ND ST
INGLESIA EVANGELICA BAUTISTA,623-25 RISING SUN AVE
INGLESIA EVANGELICA DISCIPULOS DE JESUCRISTO,6513 BUSTLETON AVE
INGLESIA METODISTA UNIDA EL MESIAS,3200-10 N FRONT ST
INGLESIA MINISTERIO MARANATHA,2117-23 GERMANTOWN AVE
INGLESIA MOVIMIENTO EVANGELISTICO,4805 N 2ND ST
INGLESIA NUEVA JURUSALEM,3528 N 9TH ST
INGLESIA NUEVA VIDA EN CRISTO,3338 KENSINGTON AVE
INGLESIA PENTECOSTAL,2300-04 N 3RD ST
INGLESIA PENTECOSTAL DIOS TE LLAMA HOY,3041 POTTER ST
INGLESIA PENTECOSTAL ROCA DE SALVACION,1938-42 N 2ND ST
INGLESIA PENTECOSTAL ROSA DE SARON,173-75 W CUMBERLAND ST
INGLESIA PENTECOSTAL UNIDA LATINOAMERICANA,3559-61 KENSINGTON AVE
INGLESIA SINAI,2806-18 N 5TH ST
INGLESIA DE CRISTO,1724 S 6TH ST
INGLESIA DE CRISTO,449-53 W HEWSON ST
INGLESIA DE DIOS EVANGELICA,2032 GERMANTOWN AVE
INGLESIA DE DIOS PENTECOST,4341 FRANKFORD AVE
INGLESIA DE DIOS PENTECOSTAL,1444 N 7TH ST
INGLESIA DE DIOS PENTECOSTAL,2402-04 GERMANTOWN AVE
INGLESIA DE DIOS PENTECOSTAL LUZ DEL EVANGELIO,1742-48 N 7TH ST
INGLESIA DE DIOS PENTECOSTAL RECONCILIADOS CON DIOS,3537 N 5TH ST
INGLESIA DE DIOS DEL SEPTIMO DIA,576 W DAUPHIN ST
INNYARD PARK,4208-52 RIDGE AVE
INQUISITIVE MINDS DEVELOPMENT CENTER,5543 LANSDOWNE AVE
INSECTARIUM,8042-44 FRANKFORD AVE
INSTITUTE FOR WOMEN?S HEALTH & LEADERSHIP,2900 W QUEEN LN
INSTITUTE OF CONTEMPORARY ART,3401-99 SPRUCE ST
INSTRUCTION CLASSROOMS,2900 W QUEEN LN
INTERNAL AFFAIRS UNIT,1140 BYBERRY RD
INTERNATIONAL ASSEMBLY-GOD,6906 CASTOR AVE
INTERNATIONAL BETHEL CHURCH,1619-21 S BROAD ST
INTERNATIONAL CHRISTIAN FELLOWSHIP,7957 CASTOR AVE
INTERNATIONAL CHRISTIAN HIGH SCHOOL,411 E TABOR RD
INTERNATIONAL CITY COMMUNITY CHURCH,6301 ELMWOOD AVE
INTERNATIONAL COIN MUSEUM,101 N INDEPENDENCE MALL E
IRISH MEMORIAL,111 S FRONT ST
IRVING AUDITORIUM,3401-99 SPRUCE ST
ISAAC SHEPPARD ELEMENTARY SCHOOL,2834-66 N HOWARD ST
ISLAMIC AHLOLBAIT ASSOCIATION,6425 BUSTLETON AVE
ISLAMIC DAY SCHOOL OF PHILADELPHIA,222 E DURHAM ST
ISLAMIC EDUCATION SCHOOL & CENTER,4431-39 WALNUT ST
ISLAMIC FAMILY CENTER,6830 OLD YORK RD
ISLAMIC LEARNING TREE ACADEMY ELEMENTARY SCHOOL,5044 GERMANTOWN AVE
IT'S TIME 4 U 2 LEARN ACADEMY,4252-54 N 17TH ST
ITALIAN FOUNTAIN,KELLY DR & AQUARIUM DRS
IVY HILL CEMETERY,1201 EASTON RD
IVY RIDGE SHOPPING CENTER,7124-62 RIDGE AVE
J. E. SIMPSON FREEDMAN HILL SCHOOL,1205-11 E TULPEHOCKEN ST
J. HAMPTON MOORE ES,1100 TYSON AVE
JAZ BUILDING,800-34 WALNUT ST
JOHN F KENNEDY FOUNTAIN,1501 JOHN F KENNEDY BLVD
JNA INSTITUTE OF CULINARY ARTS,1212-14 S BROAD ST
JONES MEMORIAL COMMUNITY,3050 N 22ND ST
JACK AND ROSEMARY MURPHY GULATI COMPLEX,9701 GERMANTOWN AVE
JACOB KELTER HOUSE,6331 WISSAHICKON AVE
JACOBS PLAYGROUND,9050 TORRESDALE AVE
JACOBS PLAYGROUND BUILDING,9050 TORRESDALE AVE
JAFFE HISTORY OF ART,3401-99 SPRUCE ST
JAMES A. GARFIELD MONUMENT,KELLY DR
JAMES ALLEN SHULER PLAYGROUND,2901 N 29TH ST
JAMES DOBSON ELEMENTARY SCHOOL,4665 UMBRIA ST
JAMES FINNEGAN PLAYGROUND,6801 GROVERS AVE
JAMES FINNEGAN PLAYGROUND BUILDING,6801 GROVERS AVE
JAMES FINNEGAN PLAYGROUND POOL BUILDING,6801 GROVERS AVE
JAMES G. BLAINE ELEMENTARY SCHOOL,3001-29 W BERKS ST
"JAMES H. WINDRIM, ESQ.",N CONCOURSE DR
